issue,draw_time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
20260412001,2026-04-12 13:09:00,10,05,08,09,03,04,07,01,02,06
20260412002,2026-04-12 13:14:00,08,06,10,01,03,07,02,05,04,09
20260412003,2026-04-12 13:19:00,01,08,07,09,04,10,02,05,03,06
20260412004,2026-04-12 13:24:00,07,03,02,08,05,10,06,04,09,01
20260412005,2026-04-12 13:29:00,08,01,09,05,02,06,03,10,07,04
20260412006,2026-04-12 13:34:00,08,03,10,02,07,06,01,05,09,04
20260412007,2026-04-12 13:39:00,07,03,10,08,06,09,05,02,04,01
20260412008,2026-04-12 13:44:00,10,04,06,02,03,08,05,09,01,07
20260412009,2026-04-12 13:49:00,01,09,10,06,03,08,07,02,04,05
20260412010,2026-04-12 13:54:00,02,09,08,06,04,03,07,01,10,05
20260412011,2026-04-12 13:59:00,07,10,01,08,06,02,04,09,03,05
20260412012,2026-04-12 14:04:00,01,05,09,02,07,10,03,04,06,08
20260412013,2026-04-12 14:09:00,02,10,01,09,04,03,06,08,05,07
20260412014,2026-04-12 14:14:00,09,01,04,02,06,05,03,07,08,10
20260412015,2026-04-12 14:19:00,05,03,01,02,07,10,09,06,04,08
20260412016,2026-04-12 14:24:00,03,02,01,07,04,06,08,05,09,10
20260412017,2026-04-12 14:29:00,01,04,03,10,09,06,05,02,08,07
20260412018,2026-04-12 14:34:00,04,01,02,08,05,09,06,10,07,03
20260412019,2026-04-12 14:39:00,10,03,06,04,07,05,01,09,02,08
20260412020,2026-04-12 14:44:00,08,03,09,05,07,01,06,10,02,04
20260412021,2026-04-12 14:49:00,04,05,08,07,10,02,09,06,03,01
20260412022,2026-04-12 14:54:00,01,10,08,05,06,07,04,03,09,02
20260412023,2026-04-12 14:59:00,10,03,07,02,09,01,06,04,05,08
20260412024,2026-04-12 15:04:00,06,04,08,05,03,09,02,07,10,01
20260412025,2026-04-12 15:09:00,10,02,04,08,05,06,03,01,09,07
20260412026,2026-04-12 15:14:00,07,03,06,10,02,09,04,08,05,01
20260412027,2026-04-12 15:19:00,05,08,09,04,10,01,03,07,06,02
20260412028,2026-04-12 15:24:00,04,02,10,06,07,03,05,09,08,01
20260412029,2026-04-12 15:29:00,01,07,02,08,05,10,06,03,09,04
20260412030,2026-04-12 15:34:00,08,01,03,10,04,06,09,02,07,05
20260412031,2026-04-12 15:39:00,10,03,08,02,09,05,04,01,07,06
20260412032,2026-04-12 15:44:00,09,06,01,04,07,02,08,10,05,03
20260412033,2026-04-12 15:49:00,09,08,10,06,03,04,01,02,07,05
20260412034,2026-04-12 15:54:00,08,01,09,04,10,06,03,02,05,07
20260412035,2026-04-12 15:59:00,08,09,02,10,01,04,06,03,05,07
20260412036,2026-04-12 16:04:00,10,03,06,08,04,09,02,05,07,01
20260412037,2026-04-12 16:09:00,02,06,04,08,07,09,10,05,03,01
20260412038,2026-04-12 16:14:00,06,07,02,09,10,01,08,05,03,04
20260412039,2026-04-12 16:19:00,10,08,05,03,02,07,06,01,09,04
20260412040,2026-04-12 16:24:00,04,10,09,01,05,03,02,06,07,08
20260412041,2026-04-12 16:29:00,03,09,05,07,02,10,01,04,08,06
20260412042,2026-04-12 16:34:00,06,05,03,07,01,04,10,09,08,02
20260412043,2026-04-12 16:39:00,03,09,07,08,02,04,05,01,06,10
20260412044,2026-04-12 16:44:00,02,08,04,03,10,09,01,06,07,05
20260412045,2026-04-12 16:49:00,05,10,06,04,08,01,03,02,07,09
20260412046,2026-04-12 16:54:00,06,08,07,04,09,01,02,03,10,05
20260412047,2026-04-12 16:59:00,01,07,10,06,05,08,09,03,02,04
20260412048,2026-04-12 17:04:00,02,08,01,05,09,04,10,07,06,03
20260412049,2026-04-12 17:09:00,08,02,07,03,05,04,01,10,06,09
20260412050,2026-04-12 17:14:00,06,08,01,07,04,05,03,09,10,02
20260412051,2026-04-12 17:19:00,01,05,03,04,10,08,02,06,07,09
20260412052,2026-04-12 17:24:00,07,06,05,03,09,10,01,08,04,02
20260412053,2026-04-12 17:29:00,04,05,03,08,07,09,01,02,10,06
20260412054,2026-04-12 17:34:00,08,03,01,04,02,09,07,10,05,06
20260412055,2026-04-12 17:39:00,03,09,07,06,10,02,01,05,04,08
20260412056,2026-04-12 17:44:00,05,10,09,04,01,08,03,07,02,06
20260412057,2026-04-12 17:49:00,06,01,08,02,05,04,09,07,10,03
20260412058,2026-04-12 17:54:00,04,03,10,08,02,06,05,07,09,01
20260412059,2026-04-12 17:59:00,07,01,04,08,02,03,06,09,05,10
20260412060,2026-04-12 18:04:00,09,08,02,01,04,03,06,05,10,07
20260412061,2026-04-12 18:09:00,10,07,02,09,06,05,01,08,04,03
20260412062,2026-04-12 18:14:00,03,06,09,05,10,04,02,01,08,07
20260412063,2026-04-12 18:19:00,06,01,08,03,09,05,02,10,04,07
20260412064,2026-04-12 18:24:00,04,03,01,09,02,06,05,10,07,08
20260412065,2026-04-12 18:29:00,09,02,06,07,10,03,05,01,04,08
20260412066,2026-04-12 18:34:00,01,04,10,08,03,02,09,06,07,05
20260412067,2026-04-12 18:39:00,01,10,03,06,07,09,04,02,05,08
20260412068,2026-04-12 18:44:00,08,10,01,03,05,04,07,06,09,02
20260412069,2026-04-12 18:49:00,09,03,01,06,05,02,04,08,07,10
20260412070,2026-04-12 18:54:00,07,05,08,01,10,04,03,06,02,09
20260412071,2026-04-12 18:59:00,09,05,02,01,08,07,06,10,03,04
20260412072,2026-04-12 19:04:00,06,10,07,09,01,03,04,08,02,05
20260412073,2026-04-12 19:09:00,04,06,01,02,10,08,03,05,07,09
20260412074,2026-04-12 19:14:00,02,06,08,05,07,10,03,01,04,09
20260412075,2026-04-12 19:19:00,06,08,07,05,09,01,10,04,03,02
20260412076,2026-04-12 19:24:00,09,10,04,01,06,07,05,03,08,02
20260412077,2026-04-12 19:29:00,06,10,09,01,05,04,07,08,03,02
20260412078,2026-04-12 19:34:00,06,03,08,04,02,01,05,10,09,07
20260412079,2026-04-12 19:39:00,08,09,07,01,10,06,04,03,05,02
20260412080,2026-04-12 19:44:00,08,05,06,01,04,07,03,09,10,02
20260412081,2026-04-12 19:49:00,09,08,06,07,02,05,01,03,10,04
20260412082,2026-04-12 19:54:00,07,08,06,03,04,09,05,10,01,02
20260412083,2026-04-12 19:59:00,02,06,05,07,03,10,01,08,09,04
20260412084,2026-04-12 20:04:00,09,01,10,08,06,03,02,07,04,05
20260412085,2026-04-12 20:09:00,08,06,04,03,05,07,10,09,01,02
20260412086,2026-04-12 20:14:00,06,07,09,10,08,05,03,01,02,04
20260412087,2026-04-12 20:19:00,08,01,02,06,10,04,07,09,05,03
20260412088,2026-04-12 20:24:00,03,08,05,09,04,06,02,10,07,01
20260412089,2026-04-12 20:29:00,01,06,04,09,07,03,05,02,08,10
20260412090,2026-04-12 20:34:00,07,03,06,08,05,02,10,09,04,01
20260412091,2026-04-12 20:39:00,04,10,03,02,05,08,09,06,01,07
20260412092,2026-04-12 20:44:00,09,07,08,04,02,05,03,10,01,06
20260412093,2026-04-12 20:49:00,05,08,09,07,02,06,03,04,01,10
20260412094,2026-04-12 20:54:00,09,10,06,02,01,04,05,03,07,08
20260412095,2026-04-12 20:59:00,02,03,08,10,06,05,07,09,01,04
20260412096,2026-04-12 21:04:00,10,07,09,01,02,06,08,04,05,03
20260412097,2026-04-12 21:09:00,01,05,09,04,07,10,08,02,03,06
20260412098,2026-04-12 21:14:00,01,04,03,07,09,06,02,08,05,10
20260412099,2026-04-12 21:19:00,04,07,09,10,05,03,08,01,02,06
20260412100,2026-04-12 21:24:00,07,01,09,03,10,04,05,08,02,06
20260412101,2026-04-12 21:29:00,10,05,04,01,02,03,08,07,06,09
20260412102,2026-04-12 21:34:00,06,10,01,03,02,09,05,07,04,08
20260412103,2026-04-12 21:39:00,07,10,08,02,01,05,04,06,09,03
20260412104,2026-04-12 21:44:00,01,02,06,07,03,08,10,05,04,09
20260412105,2026-04-12 21:49:00,04,02,07,03,01,08,06,10,05,09
20260412106,2026-04-12 21:54:00,01,10,04,05,07,02,09,06,08,03
20260412107,2026-04-12 21:59:00,07,04,08,05,03,09,06,10,02,01
20260412108,2026-04-12 22:04:00,06,09,07,05,01,02,10,03,08,04
20260412109,2026-04-12 22:09:00,08,07,05,03,02,09,04,01,10,06
20260412110,2026-04-12 22:14:00,09,04,02,03,10,05,01,07,08,06
20260412111,2026-04-12 22:19:00,07,05,06,09,10,01,03,08,02,04
20260412112,2026-04-12 22:24:00,01,06,04,05,09,03,02,10,07,08
20260412113,2026-04-12 22:29:00,09,05,02,01,06,03,10,04,08,07
20260412114,2026-04-12 22:34:00,05,04,09,03,01,08,02,07,06,10
20260412115,2026-04-12 22:39:00,08,07,06,02,05,09,10,04,01,03
20260412116,2026-04-12 22:44:00,07,02,10,03,09,05,06,08,04,01
20260412117,2026-04-12 22:49:00,03,09,04,02,08,06,07,05,10,01
